across_flats,availability,category,condition,description,diameter,finish,grade,heat_treatment,height,leg1,leg2,length,material,minimum_order,outer_diameter,part_number,side,specifications,supplier,temper,thickness,unit_price,units,wall_thickness,weight_per_unit,width
,767,Bar Round,,"Brass C260 Round Bar, 7.979"" diameter x 219.6"" length",7.979,,C260,,,,,219.6,Brass C260,1,,BR-C260-BR-D7979x220,,,IndustrialMetals Inc,H02,,33189.92,inches,,3369.34,
,619,Bar Rectangular,Solution Annealed,"Nickel Alloy Inconel 600 Rectangular Bar, 6.064"" x 1.005"" x 70.5"" length",,,Inconel 600,,1.005,,,70.5,Nickel Alloy Inconel 600,25,,NI-Inconel 600-BX-6064x1005x70,,,AluminumDirect,,,12864.51,inches,,130.29,6.064
,69,Bar Square,,"Brass C464 Square Bar, 3.745"" x 34.6"" length",,,C464,,,,,34.6,Brass C464,50,,BR-C464-BS-3745x35,3.745,,MetalMart Industries,H04,,1493.55,inches,,148.9,
,907,Angle,,"Alloy Steel A572 Angle, 5.869"" x 4.843"" x 0.915"" thick",,,A572,Annealed,,5.869,4.843,233.3,Alloy Steel A572,25,,AS-A572-AN-506,,,AlumTech Solutions,,0.915,1524.9,inches,,592.66,
,465,Tube Round,,"Copper 110 Round Tube, 4.5"" OD x 0.512"" wall x 29.4"" length",,,110,,,,,29.4,Copper 110,25,4.5,CU-110-TR-OD4500x0512x29,,,MetalDepot Supply,Spring,,1105.46,inches,0.512,61.0,
,250,Sheet,Cold Worked,"Nickel Alloy Inconel 625 Sheet, 74.67"" x 40.74"" x 0.683"" thick",,,Inconel 625,,,,,74.67,Nickel Alloy Inconel 625,1,,NI-Inconel 625-SH-75x41x0683,,,MetalWarehouse Co,,0.683,38936.25,inches,,630.05,40.74
,530,Plate,Annealed,"Titanium Grade 2 Plate, 24.32"" x 34.03"" x 10.192"" thick",,,Grade 2,,,,,24.32,Titanium Grade 2,1,,TI-Grade 2-PL-24x34x10192,,,SteelCorp Supply,,10.192,56141.53,inches,,1370.27,34.03
,930,Tube Square,,"Brass C464 Tube Square, 5.001"" x 5.001"" x 0.345"" wall",,,C464,,5.001,,,116.4,Brass C464,25,,BR-C464-TS-5001x5001x0345,,,AlloyMasters Corp,H02,,2646.75,inches,0.345,229.49,5.001
,987,Sheet,Hardened,"Tool Steel M2 Sheet, 22.23"" x 44.94"" x 0.178"" thick",,,M2,,,,,22.23,Tool Steel M2,100,,TS-M2-SH-22x45x0178,,,AluminumDirect,,0.178,974.46,inches,,50.07,44.94
,358,Plate,Work Hardened,"Bronze C510 Plate, 202.27"" x 118.91"" x 1.706"" thick",,,C510,,,,,202.27,Bronze C510,1,,BZ-C510-PL-202x119x1706,,,SteelTech Solutions,,1.706,118655.63,inches,,13035.23,118.91
,744,Bar Round,,"Carbon Steel 4130 Round Bar, 4.771"" diameter x 34.7"" length",4.771,Galvanized,4130,,,,,34.7,Carbon Steel 4130,50,,CS-4130-BR-D4771x35,,,PrecisionMetal Co,,,330.65,inches,,175.8,
,922,Beam I,,Alloy Steel A36 Beam I,,,A36,Quenched,,,,,Alloy Steel A36,5,,AS-A36-BM-412,,,MetalCraft Supply,,,7.47,inches,,2.83,
,822,Channel,Annealed,Tool Steel D2 Channel,,,D2,,,,,,Tool Steel D2,25,,TS-D2-CH-538,,,IndustrialMetals Inc,,,99.73,inches,,2.82,
,998,Foil,Annealed,"Titanium Grade 1 Foil, 45.3"" wide x 0.0086"" thick x 577.0 feet",,,Grade 1,,,,,577.0,Titanium Grade 1,50,,TI-Grade 1-FL-390,,,MetalMart Industries,,0.0086,67621.92,feet,,438.2,45.3
,776,Wire,Tempered,"Tool Steel A2 Wire, 0.1632"" diameter x 9312.0 feet",0.1632,,A2,,,,,9312.0,Tool Steel A2,1,,TS-A2-WR-897,,,AlumTech Solutions,,,26939.42,feet,,658.2,
,867,Bar Round,,"Carbon Steel 4140 Round Bar, 7.581"" diameter x 63.8"" length",7.581,Hot Rolled,4140,,,,,63.8,Carbon Steel 4140,25,,CS-4140-BR-D7581x64,,,BrassWorks LLC,,,1498.96,inches,,816.09,
1.5,101,Bar Hex,,"Alloy Steel 9310 Hexagonal Bar, 1.5"" across flats x 42.9"" length",,,9310,Annealed,,,,42.9,Alloy Steel 9310,10,,AS-9310-BH-HEX1500x43,,,AlloySupply Corp,,,166.5,inches,,71.07,
,342,Beam I,Heat Treated,Bronze C630 Beam I,,,C630,,,,,,Bronze C630,5,,BZ-C630-BM-496,,,TitaniumPro Inc,,,39.28,inches,,3.18,
,800,Foil,,"Alloy Steel A36 Foil, 17.8"" wide x 0.0095"" thick x 5205.0 feet",,,A36,Quenched,,,,5205.0,Alloy Steel A36,5,,AS-A36-FL-754,,,AluminumDirect,,0.0095,21692.28,feet,,2993.11,17.8
,153,Beam I,,Alloy Steel A36 Beam I,,,A36,Quenched,,,,,Alloy Steel A36,100,,AS-A36-BM-718,,,AlloySupply Corp,,,7.15,inches,,2.83,
,426,Bar Square,,"Copper 101 Square Bar, 4.847"" x 50.6"" length",,,101,,,,,50.6,Copper 101,10,,CU-101-BS-4847x51,4.847,,AlloyExperts Inc,Hard,,5190.79,inches,,384.51,
,810,Plate,Solution Annealed,"Nickel Alloy Inconel 600 Plate, 237.34"" x 42.43"" x 10.652"" thick",,,Inconel 600,,,,,237.34,Nickel Alloy Inconel 600,25,,NI-Inconel 600-PL-237x42x10652,,,BrassWorks LLC,,10.652,2297143.82,inches,,32528.32,42.43
,544,Tube Round,,"Aluminum 6061 Round Tube, 5.738"" OD x 0.701"" wall x 192.5"" length",,Mill,6061,,,,,192.5,Aluminum 6061,50,5.738,AL-6061-TR-OD5738x0701x192,,,MetalTech Industries,O,,626.02,inches,0.701,208.13,
,760,Tube Round,,"Stainless Steel 316L Round Tube, 5.555"" OD x 0.794"" wall x 166.5"" length",,Mill,316L,,,,,166.5,Stainless Steel 316L,10,5.555,SS-316L-TR-OD5555x0794x166,,,PrecisionMetal Co,,,3676.84,inches,0.794,571.06,
,448,Bar Rectangular,Annealed,"Tool Steel W1 Rectangular Bar, 3.1"" x 1.167"" x 163.7"" length",,,W1,,1.167,,,163.7,Tool Steel W1,100,,TS-W1-BX-3100x1167x164,,,MetalSupply Direct,,,4018.17,inches,,166.76,3.1
,413,Plate,,"Carbon Steel 4140 Plate, 194.28"" x 102.59"" x 3.636"" thick",,Hot Rolled,4140,,,,,194.28,Carbon Steel 4140,5,,CS-4140-PL-194x103x3636,,,SteelConnection,,3.636,36000.08,inches,,20536.85,102.59
,12,Channel,Solution Treated,Titanium Grade 2 Channel,,,Grade 2,,,,,,Titanium Grade 2,100,,TI-Grade 2-CH-314,,,MetalDepot Supply,,,117.56,inches,,1.62,
,565,Bar Square,Solution Treated,"Titanium Grade 2 Square Bar, 7.098"" x 52.8"" length",,,Grade 2,,,,,52.8,Titanium Grade 2,1,,TI-Grade 2-BS-7098x53,7.098,,SteelSolutions Pro,,,23782.03,inches,,432.14,
,365,Foil,Annealed,"Titanium Grade 2 Foil, 14.5"" wide x 0.002"" thick x 9697.0 feet",,,Grade 2,,,,,9697.0,Titanium Grade 2,50,,TI-Grade 2-FL-123,,,MetalWarehouse Co,,0.002,106823.04,feet,,548.2,14.5
,816,Wire,,"Stainless Steel 304 Wire, 0.4458"" diameter x 5832.0 feet",0.4458,No. 8,304,,,,,5832.0,Stainless Steel 304,1,,SS-304-WR-285,,,TitaniumPro Inc,,,32258.88,feet,,3154.75,
,890,Bar Rectangular,,"Aluminum 1100 Rectangular Bar, 1.995"" x 0.965"" x 163.3"" length",,Clad,1100,,0.965,,,163.3,Aluminum 1100,50,,AL-1100-BX-1995x0965x163,,,SteelCorp Supply,H14,,100.36,inches,,30.64,1.995
,383,Wire,,"Stainless Steel 420 Wire, 0.3456"" diameter x 2836.0 feet",0.3456,BA,420,,,,,2836.0,Stainless Steel 420,25,,SS-420-WR-416,,,MetalCrafters Inc,,,6443.02,feet,,921.98,
,630,Angle,,"Brass C464 Angle, 5.217"" x 4.183"" x 0.438"" thick",,,C464,,,5.217,4.183,133.9,Brass C464,50,,BR-C464-AN-306,,,SteelConnection,O60,0.438,1617.99,inches,,161.28,
,570,Foil,,"Carbon Steel 1008 Foil, 46.4"" wide x 0.0006"" thick x 7309.0 feet",,Hot Rolled,1008,,,,,7309.0,Carbon Steel 1008,100,,CS-1008-FL-596,,,MetalDistributors LLC,,0.0006,4751.34,feet,,691.97,46.4
,832,Tube Rectangular,Solution Annealed,"Nickel Alloy Inconel 600 Tube Rectangular, 2.879"" x 4.198"" x 0.218"" wall",,,Inconel 600,,4.198,,,162.2,Nickel Alloy Inconel 600,50,,NI-Inconel 600-TX-2879x4198x0218,,,MetalMart Industries,,,13427.61,inches,0.218,142.42,2.879
,384,Foil,Solution Annealed,"Nickel Alloy Hastelloy C276 Foil, 37.6"" wide x 0.002"" thick x 6763.0 feet",,,Hastelloy C276,,,,,6763.0,Nickel Alloy Hastelloy C276,1,,NI-Hastelloy C276-FL-394,,,SteelMasters Ltd,,0.002,628320.0,feet,,1850.65,37.6
5.536,348,Bar Hex,,"Alloy Steel 8620 Hexagonal Bar, 5.536"" across flats x 90.6"" length",,,8620,Normalized,,,,90.6,Alloy Steel 8620,1,,AS-8620-BH-HEX5536x91,,,SteelWorks Express,,,4579.31,inches,,2044.26,
,938,Tube Round,,"Alloy Steel A36 Round Tube, 2.73"" OD x 0.426"" wall x 155.8"" length",,,A36,Quenched,,,,155.8,Alloy Steel A36,10,2.73,AS-A36-TR-OD2730x0426x156,,,SteelWorks Express,,,531.75,inches,0.426,136.14,
,206,Foil,Cold Worked,"Nickel Alloy Monel 400 Foil, 34.4"" wide x 0.0097"" thick x 7221.0 feet",,,Monel 400,,,,,7221.0,Nickel Alloy Monel 400,25,,NI-Monel 400-FL-862,,,SteelConnection,,0.0097,2600007.28,feet,,8767.89,34.4
,795,Plate,,"Stainless Steel 17-4PH Plate, 222.43"" x 50.04"" x 0.643"" thick",,Mill,17-4PH,,,,,222.43,Stainless Steel 17-4PH,25,,SS-17-4PH-PL-222x50x0643,,,SteelConnection,,0.643,8384.38,inches,,2066.9,50.04
,693,Tube Rectangular,Work Hardened,"Bronze C630 Tube Rectangular, 5.441"" x 3.768"" x 0.403"" wall",,,C630,,3.768,,,151.3,Bronze C630,1,,BZ-C630-TX-5441x3768x0403,,,PremiumSteel Inc,,,5628.77,inches,0.403,325.54,5.441
,499,Bar Square,,"Brass C464 Square Bar, 3.116"" x 158.3"" length",,,C464,,,,,158.3,Brass C464,1,,BR-C464-BS-3116x158,3.116,,MetalDistributors LLC,H02,,3709.96,inches,,471.63,
,462,Tube Round,Tempered,"Tool Steel W1 Round Tube, 10.821"" OD x 0.641"" wall x 45.1"" length",,,W1,,,,,45.1,Tool Steel W1,5,10.821,TS-W1-TR-OD10821x0641x45,,,MetalSource Pro,,,11333.01,inches,0.641,260.34,
,824,Foil,,"Copper 101 Foil, 37.7"" wide x 0.004"" thick x 988.0 feet",,,101,,,,,988.0,Copper 101,50,,CU-101-FL-858,,,AlumTech Solutions,Spring,0.004,29754.01,feet,,578.3,37.7
,22,Tube Square,Work Hardened,"Bronze C630 Tube Square, 6.084"" x 6.084"" x 0.412"" wall",,,C630,,6.084,,,210.0,Bronze C630,1,,BZ-C630-TS-6084x6084x0412,,,MetalCrafters Inc,,,10738.73,inches,0.412,623.59,6.084
,986,Angle,Annealed,"Tool Steel W1 Angle, 1.225"" x 4.803"" x 0.295"" thick",,,W1,,,1.225,4.803,238.5,Tool Steel W1,1,,TS-W1-AN-482,,,MetalDistributors LLC,,0.295,3594.05,inches,,113.58,
,484,Bar Round,,"Stainless Steel 316L Round Bar, 5.28"" diameter x 106.3"" length",5.28,2B,316L,,,,,106.3,Stainless Steel 316L,50,,SS-316L-BR-D5280x106,,,CopperSource Ltd,,,2926.88,inches,,672.18,
,71,Bar Rectangular,Aged,"Titanium Grade 1 Rectangular Bar, 5.065"" x 3.215"" x 240.0"" length",,,Grade 1,,3.215,,,240.0,Titanium Grade 1,10,,TI-Grade 1-BX-5065x3215x240,,,CopperSource Ltd,,,40041.95,inches,,634.88,5.065
,551,Tube Square,,"Copper 195 Tube Square, 1.406"" x 1.406"" x 0.176"" wall",,,195,,1.406,,,211.0,Copper 195,50,,CU-195-TS-1406x1406x0176,,,MetalDepot Supply,Soft,,958.23,inches,0.176,59.1,1.406
,207,Sheet,,"Stainless Steel 347 Sheet, 131.8"" x 48.36"" x 1.687"" thick",,BA,347,,,,,131.8,Stainless Steel 347,100,,SS-347-SH-132x48x1687,,,PremiumSteel Inc,,1.687,9428.42,inches,,3105.37,48.36
,647,Bar Round,,"Copper 194 Round Bar, 10.905"" diameter x 171.0"" length",10.905,,194,,,,,171.0,Copper 194,100,,CU-194-BR-D10905x171,,,MetalDistributors LLC,Hard,,73514.13,inches,,5165.97,
,377,Tube Round,,"Copper 110 Round Tube, 7.833"" OD x 0.668"" wall x 209.2"" length",,,110,,,,,209.2,Copper 110,100,7.833,CU-110-TR-OD7833x0668x209,,,TitaniumPro Inc,Hard,,23475.33,inches,0.668,1017.46,
,112,Channel,,Alloy Steel A572 Channel,,,A572,Quenched,,,,,Alloy Steel A572,1,,AS-A572-CH-288,,,AlumTech Solutions,,,9.09,inches,,2.83,
,566,Channel,,Copper 145 Channel,,,145,,,,,,Copper 145,100,,CU-145-CH-937,,,SteelConnection,Hard,,67.53,inches,,3.23,
,300,Tube Square,Aged,"Titanium Grade 7 Tube Square, 4.111"" x 4.111"" x 0.375"" wall",,,Grade 7,,4.111,,,128.2,Titanium Grade 7,10,,TI-Grade 7-TS-4111x4111x0375,,,AlloyMasters Corp,,,9811.39,inches,0.375,116.71,4.111
,384,Wire,Heat Treated,"Bronze C510 Wire, 0.4612"" diameter x 8575.0 feet",0.4612,,C510,,,,,8575.0,Bronze C510,1,,BZ-C510-WR-994,,,MetalDepot Supply,,,101210.46,feet,,5461.01,
,838,Sheet,Aged,"Titanium Grade 12 Sheet, 96.55"" x 44.17"" x 1.58"" thick",,,Grade 12,,,,,96.55,Titanium Grade 12,25,,TI-Grade 12-SH-97x44x1580,,,SteelTech Solutions,,1.58,51074.83,inches,,1094.6,44.17
,797,Tube Square,,"Copper 110 Tube Square, 6.471"" x 6.471"" x 0.086"" wall",,,110,,6.471,,,190.8,Copper 110,1,,CU-110-TS-6471x6471x0086,,,CopperSource Ltd,Hard,,2193.94,inches,0.086,135.55,6.471
,434,Tube Square,,"Stainless Steel 317 Tube Square, 2.698"" x 2.698"" x 0.088"" wall",,Mill,317,,2.698,,,110.4,Stainless Steel 317,5,,SS-317-TS-2698x2698x0088,,,AluminumDirect,,,239.27,inches,0.088,29.29,2.698
,749,Wire,,"Carbon Steel 1045 Wire, 0.2042"" diameter x 7158.0 feet",0.2042,Cold Rolled,1045,,,,,7158.0,Carbon Steel 1045,25,,CS-1045-WR-717,,,BrassWorks LLC,,,2339.05,feet,,797.17,
,99,Tube Rectangular,,"Stainless Steel 317 Tube Rectangular, 1.778"" x 2.912"" x 0.426"" wall",,2B,317,,2.912,,,134.0,Stainless Steel 317,1,,SS-317-TX-1778x2912x0426,,,SpecialtyAlloys Ltd,,,926.36,inches,0.426,126.55,1.778
,500,Plate,,"Aluminum 6061 Plate, 208.68"" x 60.89"" x 2.218"" thick",,Painted,6061,,,,,208.68,Aluminum 6061,10,,AL-6061-PL-209x61x2218,,,MetalMart Industries,T3,2.218,7319.79,inches,,2747.0,60.89
,181,Wire,,"Brass C230 Wire, 0.4183"" diameter x 695.0 feet",0.4183,,C230,,,,,695.0,Brass C230,100,,BR-C230-WR-419,,,SteelTech Solutions,H01,,4444.24,feet,,351.69,
,308,Foil,Solution Annealed,"Nickel Alloy Inconel 625 Foil, 29.4"" wide x 0.0052"" thick x 1191.0 feet",,,Inconel 625,,,,,1191.0,Nickel Alloy Inconel 625,10,,NI-Inconel 625-FL-465,,,MetalCraft Supply,,0.0052,174733.55,feet,,662.57,29.4
,757,Tube Square,,"Stainless Steel 420 Tube Square, 3.479"" x 3.479"" x 0.296"" wall",,Brushed,420,,3.479,,,197.3,Stainless Steel 420,5,,SS-420-TS-3479x3479x0296,,,IndustrialMetals Inc,,,1441.93,inches,0.296,214.74,3.479
,624,Channel,,Alloy Steel A572 Channel,,,A572,Quenched,,,,,Alloy Steel A572,1,,AS-A572-CH-410,,,AlumTech Solutions,,,7.8,inches,,2.83,
,34,Sheet,,"Stainless Steel 316L Sheet, 131.83"" x 21.95"" x 0.401"" thick",,2B,316L,,,,,131.83,Stainless Steel 316L,10,,SS-316L-SH-132x22x0401,,,MetalTech Industries,,0.401,1498.07,inches,,335.11,21.95
,779,Tube Round,,"Alloy Steel 4340 Round Tube, 2.595"" OD x 0.229"" wall x 169.8"" length",,,4340,Tempered,,,,169.8,Alloy Steel 4340,1,2.595,AS-4340-TR-OD2595x0229x170,,,PremiumSteel Inc,,,230.53,inches,0.229,81.91,
,85,Sheet,,"Copper 101 Sheet, 121.68"" x 81.64"" x 1.289"" thick",,,101,,,,,121.68,Copper 101,10,,CU-101-SH-122x82x1289,,,AlloySupply Corp,Half Hard,1.289,46630.91,inches,,4141.81,81.64
,700,Tube Rectangular,,"Copper 110 Tube Rectangular, 5.189"" x 0.967"" x 0.213"" wall",,,110,,0.967,,,237.5,Copper 110,10,,CU-110-TX-5189x0967x0213,,,MetalCraft Supply,Spring,,4409.18,inches,0.213,187.52,5.189
,259,Tube Round,,"Aluminum 3003 Round Tube, 9.535"" OD x 0.277"" wall x 38.8"" length",,Mill,3003,,,,,38.8,Aluminum 3003,10,9.535,AL-3003-TR-OD9535x0277x39,,,SteelConnection,T4,,121.66,inches,0.277,30.47,
,123,Bar Square,,"Aluminum 5052 Square Bar, 2.843"" x 227.0"" length",,Painted,5052,,,,,227.0,Aluminum 5052,25,,AL-5052-BS-2843x227,2.843,,SteelWorks Express,H14,,508.27,inches,,178.83,
,97,Bar Round,,"Aluminum 3003 Round Bar, 6.018"" diameter x 149.6"" length",6.018,Painted,3003,,,,,149.6,Aluminum 3003,50,,AL-3003-BR-D6018x150,,,PrecisionMetal Co,T651,,915.11,inches,,414.76,
,413,Bar Round,Annealed,"Tool Steel A2 Round Bar, 2.791"" diameter x 200.3"" length",2.791,,A2,,,,,200.3,Tool Steel A2,25,,TS-A2-BR-D2791x200,,,TitaniumPro Inc,,,7760.45,inches,,345.06,
,435,Plate,Annealed,"Tool Steel H13 Plate, 29.85"" x 35.23"" x 10.18"" thick",,,H13,,,,,29.85,Tool Steel H13,25,,TS-H13-PL-30x35x10180,,,SteelCorp Supply,,10.18,77563.37,inches,,3014.44,35.23
,679,Tube Square,Annealed,"Titanium Grade 1 Tube Square, 7.671"" x 7.671"" x 0.095"" wall",,,Grade 1,,7.671,,,109.4,Titanium Grade 1,10,,TI-Grade 1-TS-7671x7671x0095,,,MetalWarehouse Co,,,3925.26,inches,0.095,51.16,7.671
,169,Tube Round,,"Aluminum 7050 Round Tube, 3.249"" OD x 0.573"" wall x 22.0"" length",,Clad,7050,,,,,22.0,Aluminum 7050,1,3.249,AL-7050-TR-OD3249x0573x22,,,SteelWorks Express,H32,,33.24,inches,0.573,10.33,
3.122,453,Bar Hex,,"Copper 101 Hexagonal Bar, 3.122"" across flats x 92.4"" length",,,101,,,,,92.4,Copper 101,10,,CU-101-BH-HEX3122x92,,,MetalWarehouse Co,Spring,,12281.79,inches,,756.82,
,207,Tube Square,,"Stainless Steel 321 Tube Square, 2.319"" x 2.319"" x 0.307"" wall",,Mill,321,,2.319,,,114.7,Stainless Steel 321,25,,SS-321-TS-2319x2319x0307,,,SteelConnection,,,516.34,inches,0.307,81.84,2.319
,402,Bar Square,,"Aluminum 7075 Square Bar, 2.619"" x 201.7"" length",,Powder Coated,7075,,,,,201.7,Aluminum 7075,50,,AL-7075-BS-2619x202,2.619,,SteelTech Solutions,T651,,388.91,inches,,134.85,
,131,Wire,Aged,"Nickel Alloy Hastelloy C276 Wire, 0.4219"" diameter x 3335.0 feet",0.4219,,Hastelloy C276,,,,,3335.0,Nickel Alloy Hastelloy C276,1,,NI-Hastelloy C276-WR-499,,,SteelCorp Supply,,,247278.2,feet,,1696.57,
,708,Channel,Work Hardened,Bronze C220 Channel,,,C220,,,,,,Bronze C220,1,,BZ-C220-CH-829,,,AlloyExperts Inc,,,43.11,inches,,3.18,
,26,Bar Round,,"Stainless Steel 420 Round Bar, 4.154"" diameter x 147.2"" length",4.154,No. 8,420,,,,,147.2,Stainless Steel 420,1,,SS-420-BR-D4154x147,,,AluminumDirect,,,2496.25,inches,,576.14,
3.513,729,Bar Hex,,"Aluminum 6063 Hexagonal Bar, 3.513"" across flats x 28.0"" length",,Powder Coated,6063,,,,,28.0,Aluminum 6063,25,,AL-6063-BH-HEX3513x28,,,TitaniumPro Inc,T3,,353.9,inches,,87.5,
,102,Bar Square,,"Carbon Steel 4140 Square Bar, 7.357"" x 228.8"" length",,Zinc Plated,4140,,,,,228.8,Carbon Steel 4140,1,,CS-4140-BS-7357x229,7.357,,MetalDepot Supply,,,7010.29,inches,,3509.41,
,669,Bar Rectangular,Cold Worked,"Nickel Alloy Hastelloy C276 Rectangular Bar, 6.946"" x 3.154"" x 158.9"" length",,,Hastelloy C276,,3.154,,,158.9,Nickel Alloy Hastelloy C276,50,,NI-Hastelloy C276-BX-6946x3154x159,,,SteelCorp Supply,,,87597.82,inches,,1055.62,6.946
,601,Bar Round,,"Stainless Steel 321 Round Bar, 10.941"" diameter x 114.4"" length",10.941,2B,321,,,,,114.4,Stainless Steel 321,1,,SS-321-BR-D10941x114,,,AlloyExperts Inc,,,14413.77,inches,,3106.18,
,790,Channel,,Carbon Steel 8620 Channel,,Galvanized,8620,,,,,,Carbon Steel 8620,1,,CS-8620-CH-384,,,AlloyExperts Inc,,,5.47,inches,,2.83,
,18,Plate,Tempered,"Tool Steel H13 Plate, 31.47"" x 111.68"" x 2.745"" thick",,,H13,,,,,31.47,Tool Steel H13,100,,TS-H13-PL-31x112x2745,,,MetalWarehouse Co,,2.745,67984.67,inches,,2716.54,111.68
,489,Tube Round,,"Brass C240 Round Tube, 1.7"" OD x 0.951"" wall x 114.7"" length",,,C240,,,,,114.7,Brass C240,100,1.7,BR-C240-TR-OD1700x0951x115,,,PrecisionMetal Co,H02,,1075.21,inches,0.951,78.76,
1.397,640,Bar Hex,Annealed,"Titanium Grade 7 Hexagonal Bar, 1.397"" across flats x 38.4"" length",,,Grade 7,,,,,38.4,Titanium Grade 7,1,,TI-Grade 7-BH-HEX1397x38,,,MetalDepot Supply,,,2106.98,inches,,31.63,
,331,Tube Round,,"Stainless Steel 420 Round Tube, 5.399"" OD x 0.275"" wall x 38.6"" length",,2B,420,,,,,38.6,Stainless Steel 420,10,5.399,SS-420-TR-OD5399x0275x39,,,SteelTech Solutions,,,273.64,inches,0.275,49.35,
1.561,671,Bar Hex,,"Brass C464 Hexagonal Bar, 1.561"" across flats x 52.6"" length",,,C464,,,,,52.6,Brass C464,100,,BR-C464-BH-HEX1561x53,,,MetalCrafters Inc,O60,,1146.04,inches,,102.18,
,274,Plate,,"Carbon Steel 4140 Plate, 130.73"" x 31.98"" x 10.077"" thick",,Cold Rolled,4140,,,,,130.73,Carbon Steel 4140,25,,CS-4140-PL-131x32x10077,,,AlloyMasters Corp,,10.077,18533.59,inches,,11938.83,31.98
,171,Foil,,"Copper 110 Foil, 25.4"" wide x 0.0005"" thick x 7222.0 feet",,,110,,,,,7222.0,Copper 110,5,,CU-110-FL-274,,,MetalMart Industries,Half Hard,0.0005,17557.37,feet,,356.01,25.4
,605,Channel,Solution Treated,Titanium Grade 5 Channel,,,Grade 5,,,,,,Titanium Grade 5,50,,TI-Grade 5-CH-958,,,MetalSupply Direct,,,95.32,inches,,1.62,
,563,Angle,,"Carbon Steel 4130 Angle, 4.752"" x 3.537"" x 0.811"" thick",,Pickled,4130,,,4.752,3.537,223.4,Carbon Steel 4130,5,,CS-4130-AN-319,,,MetalDepot Supply,,0.811,750.4,inches,,383.94,
,337,Bar Round,Work Hardened,"Bronze C630 Round Bar, 10.911"" diameter x 135.9"" length",10.911,,C630,,,,,135.9,Bronze C630,100,,BZ-C630-BR-D10911x136,,,SteelTech Solutions,,,46197.03,inches,,4036.71,
,580,Plate,,"Carbon Steel 1020 Plate, 188.31"" x 36.05"" x 9.52"" thick",,Cold Rolled,1020,,,,,188.31,Carbon Steel 1020,5,,CS-1020-PL-188x36x9520,,,SteelWorks Express,,9.52,32883.51,inches,,18314.39,36.05
5.001,1000,Bar Hex,Cold Worked,"Nickel Alloy Hastelloy C276 Hexagonal Bar, 5.001"" across flats x 41.0"" length",,,Hastelloy C276,,,,,41.0,Nickel Alloy Hastelloy C276,50,,NI-Hastelloy C276-BH-HEX5001x41,,,PremiumSteel Inc,,,76927.46,inches,,807.84,
,858,Channel,Aged,Nickel Alloy Inconel 625 Channel,,,Inconel 625,,,,,,Nickel Alloy Inconel 625,1,,NI-Inconel 625-CH-574,,,MetalMart Industries,,,269.47,inches,,3.03,
2.419,594,Bar Hex,,"Brass C240 Hexagonal Bar, 2.419"" across flats x 52.1"" length",,,C240,,,,,52.1,Brass C240,1,,BR-C240-BH-HEX2419x52,,,MetalDepot Supply,H01,,2134.09,inches,,243.04,
,446,Bar Rectangular,Solution Treated,"Titanium Grade 2 Rectangular Bar, 7.443"" x 2.038"" x 32.2"" length",,,Grade 2,,2.038,,,32.2,Titanium Grade 2,5,,TI-Grade 2-BX-7443x2038x32,,,IndustrialMetals Inc,,,3807.8,inches,,79.35,7.443
,723,Sheet,Annealed,"Titanium Grade 5 Sheet, 135.44"" x 44.87"" x 0.433"" thick",,,Grade 5,,,,,135.44,Titanium Grade 5,50,,TI-Grade 5-SH-135x45x0433,,,SpecialtyAlloys Ltd,,0.433,14587.35,inches,,427.47,44.87
,435,Channel,,Carbon Steel 4130 Channel,,Zinc Plated,4130,,,,,,Carbon Steel 4130,25,,CS-4130-CH-713,,,TitaniumPro Inc,,,5.63,inches,,2.83,
,98,Bar Square,,"Brass C260 Square Bar, 0.663"" x 180.6"" length",,,C260,,,,,180.6,Brass C260,25,,BR-C260-BS-0663x181,0.663,,SteelConnection,H01,,245.67,inches,,24.36,
,328,Beam I,Annealed,Titanium Grade 12 Beam I,,,Grade 12,,,,,,Titanium Grade 12,25,,TI-Grade 12-BM-741,,,TitaniumPro Inc,,,108.17,inches,,1.62,
,216,Angle,Solution Annealed,"Nickel Alloy Monel 400 Angle, 5.13"" x 5.372"" x 0.621"" thick",,,Monel 400,,,5.13,5.372,200.4,Nickel Alloy Monel 400,10,,NI-Monel 400-AN-816,,,PrecisionMetal Co,,0.621,37834.81,inches,,372.89,
,373,Tube Square,Solution Annealed,"Nickel Alloy Inconel 600 Tube Square, 2.379"" x 2.379"" x 0.135"" wall",,,Inconel 600,,2.379,,,185.7,Nickel Alloy Inconel 600,1,,NI-Inconel 600-TS-2379x2379x0135,,,SteelTech Solutions,,,10287.26,inches,0.135,68.24,2.379
,774,Bar Round,Work Hardened,"Bronze C220 Round Bar, 6.986"" diameter x 122.5"" length",6.986,,C220,,,,,122.5,Bronze C220,25,,BZ-C220-BR-D6986x122,,,IndustrialMetals Inc,,,14620.51,inches,,1491.67,
,369,Tube Round,,"Carbon Steel 1008 Round Tube, 5.457"" OD x 0.296"" wall x 190.3"" length",,Pickled,1008,,,,,190.3,Carbon Steel 1008,10,5.457,CS-1008-TR-OD5457x0296x190,,,MetalSupply Direct,,,555.06,inches,0.296,258.82,
,422,Channel,,Alloy Steel 8620 Channel,,,8620,Stress Relieved,,,,,Alloy Steel 8620,1,,AS-8620-CH-629,,,AlloySupply Corp,,,8.19,inches,,2.83,
